nom,date,cumulative_confirmed_cases
Mongbwalu,5/14/2026,0
Mongbwalu,5/15/2026,0
Rwampara,5/15/2026,13
Bunia,5/15/2026,0
Mongbwalu,5/18/2026,1
Rwampara,5/18/2026,19
Bunia,5/18/2026,6
Nyankunde,5/18/2026,4
Goma,5/18/2026,1
Katwa,5/18/2026,1
Butembo,5/18/2026,1
Mongbwalu,5/19/2026,13
Rwampara,5/19/2026,25
Bunia,5/19/2026,6
Nyankunde,5/19/2026,4
Goma,5/19/2026,1
Katwa,5/19/2026,1
Butembo,5/19/2026,1
Mongbwalu,5/20/2026,13
Rwampara,5/20/2026,24
Bunia,5/20/2026,11
Nyankunde,5/20/2026,5
Goma,5/20/2026,1
Katwa,5/20/2026,1
Butembo,5/20/2026,1
Bambu,5/20/2026,1
Mongbwalu,5/21/2026,14
Rwampara,5/21/2026,31
Bunia,5/21/2026,15
Nyankunde,5/21/2026,11
Goma,5/21/2026,1
Katwa,5/21/2026,1
Butembo,5/21/2026,2
Bambu,5/21/2026,1
Nizi,5/21/2026,1
Kilo,5/21/2026,1
Miti-Murhesa,5/21/2026,1
Mongbwalu,5/22/2026,10
Rwampara,5/22/2026,32
Bunia,5/22/2026,23
Nyankunde,5/22/2026,9
Goma,5/22/2026,1
Katwa,5/22/2026,0
Butembo,5/22/2026,2
Bambu,5/22/2026,1
Nizi,5/22/2026,2
Kilo,5/22/2026,1
Miti-Murhesa,5/22/2026,1
Aru,5/22/2026,1
Mongbwalu,5/23/2026,19
Rwampara,5/23/2026,32
Bunia,5/23/2026,24
Nyankunde,5/23/2026,9
Goma,5/23/2026,1
Katwa,5/23/2026,4
Butembo,5/23/2026,1
Bambu,5/23/2026,0
Nizi,5/23/2026,2
Kilo,5/23/2026,1
Miti-Murhesa,5/23/2026,1
Aru,5/23/2026,1
Mongbwalu,5/24/2026,19
Rwampara,5/24/2026,32
Bunia,5/24/2026,24
Nyankunde,5/24/2026,9
Goma,5/24/2026,1
Katwa,5/24/2026,4
Butembo,5/24/2026,3
Bambu,5/24/2026,2
Nizi,5/24/2026,2
Kilo,5/24/2026,1
Miti-Murhesa,5/24/2026,1
Aru,5/24/2026,1
Oicha,5/24/2026,1
Kalunguta,5/24/2026,1
Mongbwalu,5/25/2026,19
Rwampara,5/25/2026,32
Bunia,5/25/2026,24
Nyankunde,5/25/2026,9
Goma,5/25/2026,1
Butembo,5/25/2026,3
